-0.38	0.14	0.07	-0.07	0.19	-0.12	0.27	0.12	0.73	-0.31	0.26	-0.07
-0.38	0.11	0.07	0.03	0.10	-0.19	-0.22	-0.22	0.19	0.57	-0.42	-0.40
0.34	-0.15	-0.08	-0.11	0.66	-0.49	-0.37	-0.08	0.04	-0.14	0.01	0.08
-0.38	0.15	0.00	-0.07	0.15	-0.03	-0.23	0.17	-0.28	0.38	0.69	0.18
-0.14	-0.06	-0.72	0.06	-0.03	-0.17	0.04	0.44	-0.17	-0.13	-0.04	-0.43
-0.19	-0.29	-0.59	0.09	0.06	0.14	0.13	-0.43	0.18	0.17	-0.04	0.49
-0.33	-0.31	0.19	0.04	0.23	0.24	-0.17	0.57	-0.02	-0.05	-0.42	0.35
0.12	0.55	-0.21	-0.13	0.42	0.64	-0.12	-0.04	0.02	-0.05	-0.10	-0.09
0.35	-0.23	0.05	-0.05	0.31	0.10	0.58	0.25	0.08	0.53	0.08	-0.12
-0.37	0.11	0.14	-0.08	0.34	-0.16	0.51	-0.26	-0.53	-0.23	-0.17	0.00
0.14	0.60	-0.13	-0.02	-0.15	-0.40	0.16	0.27	0.05	0.18	-0.26	0.48
0.04	0.12	0.06	0.97	0.18	-0.01	0.02	0.00	-0.01	-0.03	0.08	-0.01
